friendly_battledeaths,enemy_battledeaths
1.0256,1.9231
1.0256,1.9231
6.6667,6.9231
6.6667,5.3846
5.1282,4.2308
4.359,6.1538
5.641,8.0769
8.2051,9.6154
8.2051,7.6923
10.2564,8.4615
11.0256,10.3846
11.0256,14.6154
12.8205,10.3846
15.641,11.1538
15.641,15.7692
15.3846,18.8462
18.2051,16.9231
18.7179,16.1538
20.5128,17.6923
20,19.6154
18.7179,23.4615
26.6667,18.8462
28.2051,19.6154
24.8718,24.6154
24.359,24.6154
25.8974,24.6154
31.0256,28.0769
31.5385,32.3077
33.0769,24.6154
33.3333,27.3077
32.5641,36.9231
35.3846,35
37.1795,31.1538
37.4359,36.1538
37.4359,42.6923
41.5385,38.8462
42.5641,36.9231
45.8974,36.5385
43.5897,41.9231
42.0513,45.7692
43.3333,44.2308
46.6667,43.0769
50.5128,44.2308
50,49.2308
51.5385,47.6923
44.8718,54.2308
47.1795,53.8462
54.1026,52.6923
54.6154,53.0769
54.359,54.6154
50,59.6154
52.3077,56.9231
56.1538,55.7692
58.7179,59.2308
58.7179,60
58.9744,60
58.2051,63.8462
68.4615,62.3077
63.3333,62.6923
62.3077,65.3846
66.1538,65.7692
66.9231,65.3846
70,67.6923
71.7949,69.6154
70,71.5385
71.5385,70.3846
72.5641,71.1538
76.9231,69.6154
75.8974,72.6923
77.6923,72.3077
78.4615,71.9231
78.9744,73.0769
78.4615,75.7692
81.0256,74.6154
81.0256,74.6154
81.0256,78.4615
81.5385,79.2308
82.8205,77.6923
83.8462,77.3077
83.8462,81.1538
83.5897,83.0769
84.8718,81.5385
85.641,82.3077
86.6667,85.7692
88.4615,86.5385
89.4872,88.0769
90.2564,89.2308
92.0513,91.5385
92.5641,92.3077
93.0769,93.0769
94.6154,93.8462
95.1282,95
95.3846,95.7692
92.0513,89.2308
89.7436,87.3077
88.7179,86.1538
84.8718,85
84.6154,80.7692
84.8718,78.0769
76.4103,75.3846
75.8974,76.5385
81.2821,76.5385
79.7436,73.4615
73.0769,71.1538
72.0513,69.2308
73.0769,69.2308
68.7179,66.1538
68.7179,66.1538
73.0769,61.5385
71.2821,61.1538
66.1538,61.9231
63.8462,61.9231
58.7179,60
61.5385,56.5385
57.9487,55.7692
57.4359,55.3846
56.4103,51.1538
53.5897,51.5385
51.0256,52.3077
52.3077,56.1538
48.9744,49.2308
47.6923,43.0769
47.6923,43.0769
44.359,45.7692
43.5897,47.6923
44.8718,51.5385
46.4103,50.3846
48.4615,51.9231
54.6154,59.6154
57.1795,55
62.0513,56.1538
60,61.5385
54.8718,60
54.359,60
54.6154,52.6923
52.3077,50.7692
46.9231,47.3077
47.4359,46.1538
49.2308,44.6154
41.5385,41.9231
36.9231,41.5385
40.5128,40.7692
43.8462,38.8462
44.359,38.0769
42.0513,36.1538
38.2051,33.4615
35.1282,34.6154
34.6154,36.5385
37.6923,35.7692
39.2308,34.6154
34.1026,30.7692
27.1795,31.1538
33.8462,34.6154
33.5897,29.6154
30.5128,25.3846
28.7179,20.3846
27.1795,22.6923
25.641,20
25.1282,18.8462
22.5641,15.3846
19.4872,18.4615
20,11.5385
20,10.3846
15.3846,11.5385
14.359,8.8462
9.4872,8.8462
8.4615,6.9231
7.1795,2.3077
3.0769,2.6923
2.8205,3.4615
3.3333,1.5385
19.4872,14.6154
19.7436,18.8462
28.4615,26.5385
28.2051,26.9231
28.9744,23.0769
29.7436,22.6923
30.5128,27.6923
31.2821,31.9231
36.1538,33.4615
38.9744,36.5385
39.7436,40.7692
39.4872,43.0769
48.7179,45.7692
53.8462,46.5385
54.359,47.3077
56.4103,55.3846
73.3333,56.9231
66.9231,60.7692
60.5128,61.5385
60.5128,61.9231
64.359,68.8462
65.1282,69.2308
69.2308,70
71.5385,67.3077
73.8462,67.3077
74.1026,67.6923
73.3333,76.9231
74.1026,75.7692
75.8974,75
80.2564,77.6923
81.7949,84.2308
86.6667,84.6154
87.4359,84.6154
87.1795,89.2308
89.4872,89.6154
90.7692,82.3077
92.8205,84.2308
95.1282,90.7692
95.641,94.6154
93.5897,89.2308
88.9744,84.2308
79.7436,81.5385
76.6667,83.0769
84.1026,80.3846
86.4103,80.7692
87.6923,81.1538
87.4359,78.4615
77.4359,77.6923
77.1795,76.5385
70.5128,68.4615
67.9487,65.7692
65.1282,63.8462
64.359,63.8462
65.8974,60
62.5641,56.9231
58.9744,61.5385
57.1795,60.7692
58.7179,55
58.9744,54.6154
53.5897,53.0769
53.8462,52.6923
54.1026,50
51.0256,51.9231
48.7179,53.0769
47.9487,53.4615
45.641,48.4615
42.3077,46.5385
41.0256,43.0769
43.0769,38.8462
39.2308,36.9231
37.6923,36.5385
36.6667,34.6154
34.8718,30.3846
33.5897,28.8462
27.1795,30.7692
28.4615,24.2308
28.2051,23.0769
23.3333,22.6923
22.0513,21.5385
23.3333,19.2308
23.3333,19.2308
20.5128,18.8462
17.1795,10.7692
17.1795,10.7692
12.0513,11.1538
11.0256,9.6154
9.7436,7.6923
13.3333,10.7692
19.2308,15
22.0513,19.6154
23.8462,22.6923
26.9231,26.5385
31.5385,34.2308
33.0769,35.7692
36.9231,35.3846
38.2051,36.5385
40.2564,41.9231
44.8718,42.6923
44.8718,42.6923
49.2308,48.8462
52.0513,55
56.1538,58.0769
58.4615,59.6154
60,61.5385
61.2821,62.3077
66.4103,65.3846
69.7436,66.9231
73.5897,68.4615
73.5897,70.3846
73.8462,73.0769
75.3846,73.4615
76.4103,73.4615
81.5385,80
82.8205,80.7692
85.1282,83.4615
88.7179,86.1538
90.5128,87.6923
92.3077,90
92.5641,90.3846
86.1538,80.3846
82.3077,78.4615
80.2564,76.9231
79.2308,75.7692
79.2308,75.7692
78.7179,73.0769
76.1538,71.5385
75.641,71.5385
75.641,71.5385
74.1026,70.7692
